Energy,ElecStopPower,NucStopPower,TotalStopPower
6.50E+02,2.49E+00,4.96E-04,2.49E+00
7.00E+02,2.43E+00,4.63E-04,2.43E+00
7.50E+02,2.38E+00,4.33E-04,2.38E+00
8.00E+02,2.33E+00,4.08E-04,2.33E+00
8.50E+02,2.30E+00,3.85E-04,2.30E+00
9.00E+02,2.26E+00,3.65E-04,2.26E+00
9.50E+02,2.24E+00,3.46E-04,2.24E+00
1.00E+03,2.21E+00,3.30E-04,2.21E+00
1.50E+03,2.07E+00,2.25E-04,2.07E+00
2.00E+03,2.02E+00,1.72E-04,2.02E+00
2.50E+03,2.004E+00,1.39E-04,2.004E+00
3.00E+03,2.001E+00,1.17E-04,2.001E+00
